7,Headphone Volume,,
9,Level 1,,
10,Level 2,,
11,Level 3,,
12,Level 4,,
13,Level 5,,
14,Level 6,,
15,Level 7,,
16,Level 8,,
17,Tune 1,,
18,Tune 2,,
19,Tune 3,,
20,Tune 4,,
21,Tune 5,,
22,Tune 6,,
23,Tune 7,,
24,Tune 8,,
25,Pan 1,,
26,Pan 2,,
27,Pan 3,,
28,Pan 4,,
29,Pan 5,,
30,Pan 6,,
31,Pan 7,,
32,Pan 8,,
44,Cutoff 1,,
45,Cutoff 2,,
46,Cutoff 3,,
47,Cutoff 4,,
48,Cutoff 5,,
49,Cutoff 6,,
50,Cutoff 7,,
51,Cutoff 8,,
52,Reso 1,,
53,Reso 2,,
54,Reso 3,,
55,Reso 4,,
56,Reso 5,,
57,Reso 6,,
58,Reso 7,,
59,Reso 8,,
70,Sample Number,,
71,Pitch Env Attack,,
72,Pitch Env Hold,,
73,Pitch Env Decay,,
74,Pitch Env Amount,,
75,Filter Env Attack,,
76,Filter Env Hold,,
77,Filter Env Decay,,
78,Filter Env Amount,,
79,Amp Env Attack,,
80,Amp Env Hold,,
81,Amp Env Decay,,
82,Pitch Mode,0,3
91,Division,,
92,Groove,,
93,Tempo Coarse,,
94,Tempo Fine,0,2
95,Current Track,0,7
95,All Tracks,0,127
