1,Mod Wheel,,
5,Glide,,
7,Headphone Volume,,
12,Distortion,,
13,Delay,,
14,Delay Time,,
15,Delay Feedback,,
16,Osc1 Shape,,
17,Osc2 Shape,,
18,Osc Mix,,
19,FM Amount,,
20,Spread,,
22,FEG Attack,,
23,FEG Decay,,
24,FEG Sustain,,
25,FEG Release,,
26,AEG Attack,,
27,AEG Decay,,
28,AEG Sustain,,
29,AEG Release,,
30,Osc2 Detune,,
31,Osc2 Fine,,
32,FEG Invert,,
33,Filter Morph,,
34,Filter Cutoff,,
35,Filter Resonance,,
36,LFO Rate,,
37,LFO Depth,,
38,LFO Destination,,
39,LFO Shape,,
40,Octave,,
41,Scale,,
42,Mod Wheel Destination,,
