1,MOD WHEEL,,
3,LFO RATE,,
13,LFO VCO AMOUNT,,
12,LFO VCF AMOUNT,,
87,LFO MIDI SYNC,,
86,LFO SYNC CLOCK DIV,,
82,LFO KEY TRIGGER,,
70,VCO 1 WAVE,,
71,VCO 2 WAVE,,
17,VCO 2 FREQ,,
18,VCO 2 BEAT,,
81,NOTE SYNC,,
5,GLIDE RATE,,
65,GLIDE SWITCH,,
92,GLIDE TYPE,,
83,LEGATO GLIDE,,
15,VCO 1 LEVEL,,
16,VCO 2 LEVEL,,
27,EXTERNAL IN LEVEL,,
19,CUTOFF,,
21,RESONANCE,,
22,EG AMOUNT,,
20,FILTER KB TRACK,,
89,FILTER VELOCITY SENSITIVITY,
23,VCF ATTACK,,
24,VCF DECAY/RELEASE,,
25,VCF SUSTAIN,,
28,VCA ATTACK,,
29,VCA DECAY/RELEASE,,
30,VCA SUSTAIN,,
72,RELEASE SWITCH,,
73,TRIGGER MODE,,
7,VCA OUTPUT LEVEL,,
90,VOLUME VELOCITY SENSITIVITY,,
91,KEY PRIORITY,,
107,BEND UP AMOUNT,,
108,BEND DOWN AMOUNT,,
